name,dev0,dev1
Image_w1920_h1200_fn137.jpg,[926.  612.5],[1077.5  477. ]
Image_w1920_h1200_fn138.jpg,[928.5 603.5],[1080.5  469. ]
Image_w1920_h1200_fn139.jpg,[934.  591.5],[1081.  456.]
Image_w1920_h1200_fn140.jpg,[935.5 582. ],[1070.5  439.5]
Image_w1920_h1200_fn141.jpg,[943. 574.],[1052.5  425. ]
Image_w1920_h1200_fn142.jpg,[949.5 570. ],[1032.   412.5]
Image_w1920_h1200_fn143.jpg,[958.5 563. ],[1022.   406.5]
Image_w1920_h1200_fn144.jpg,[972. 555.],[1027.   407.5]
Image_w1920_h1200_fn145.jpg,[990. 546.],[1047.  412.]
Image_w1920_h1200_fn146.jpg,[1011.   529.5],[1078.5  420. ]
Image_w1920_h1200_fn147.jpg,[1031.5  511.5],[1110.5  424. ]
Image_w1920_h1200_fn148.jpg,[1045.  493.],[1132.5  427. ]
Image_w1920_h1200_fn149.jpg,[1064.  481.],[1143.5  426. ]
Image_w1920_h1200_fn150.jpg,[1076.  468.],[1152.5  425.5]
Image_w1920_h1200_fn151.jpg,[1087.   465.5],[1154.5  429. ]
Image_w1920_h1200_fn152.jpg,[1093.   465.5],[1156.  434.]
Image_w1920_h1200_fn153.jpg,[1099.  473.],[1156.5  443. ]
Image_w1920_h1200_fn154.jpg,[1102.5  490. ],[1154.   456.5]
Image_w1920_h1200_fn155.jpg,[1094.5  509. ],[1152.5  475.5]
Image_w1920_h1200_fn156.jpg,[1098.5  522. ],[1151.  490.]
Image_w1920_h1200_fn157.jpg,[1093.5  532. ],[1148.5  497. ]
Image_w1920_h1200_fn158.jpg,[1092.  535.],[1144.   498.5]
Image_w1920_h1200_fn159.jpg,[1080.5  538. ],[1142.   497.5]
Image_w1920_h1200_fn160.jpg,[1074.5  540.5],[1138.  496.]
Image_w1920_h1200_fn161.jpg,[1072.5  548.5],[1130.  497.]
Image_w1920_h1200_fn162.jpg,[1072.   559.5],[1115.5  501.5]
Image_w1920_h1200_fn163.jpg,[1075.5  567.5],[1100.  504.]
Image_w1920_h1200_fn164.jpg,[1078.   574.5],[1083.5  506. ]
Image_w1920_h1200_fn165.jpg,[1084.   579.5],[1065.   507.5]
Image_w1920_h1200_fn166.jpg,[1091.5  584.5],[1044.5  507. ]
Image_w1920_h1200_fn167.jpg,[1098.5  589. ],[1024.   507.5]
Image_w1920_h1200_fn168.jpg,[1106.  596.],[1000.5  507.5]
Image_w1920_h1200_fn169.jpg,[1107.  606.],[975.  507.5]
Image_w1920_h1200_fn170.jpg,[1110.5  613.5],[952. 509.]
